noise_multiplier,fold,epoch,epsilon,delta,accuracy,f1_score,recall
2.0,3,5,0.17327484176745742,1e-05,0.8965555310223007,0.9218058916798798,0.8598785614198973
2.0,4,1,0.0791167213253841,1e-05,0.7090648117478193,0.8297693649460559,1.0
2.0,4,2,0.10996393949551724,1e-05,0.7090648117478193,0.8297693649460559,1.0
2.0,4,3,0.1341627380838385,1e-05,0.7884509219388318,0.8700312033645367,0.9985985674244784
2.0,4,4,0.1548536182657601,1e-05,0.9210555371535829,0.9430868423147337,0.9224540641544691
2.0,4,5,0.17327484176745742,1e-05,0.8986419344153693,0.9242324199405745,0.8718467767050763
2.0,5,1,0.0791167213253841,1e-05,0.7091752235839682,0.82984496124031,1.0
2.0,5,2,0.10996393949551724,1e-05,0.7091752235839682,0.82984496124031,1.0
2.0,5,3,0.1341627380838385,1e-05,0.792315336204041,0.8721712538226299,0.9990658570761326
2.0,5,4,0.1548536182657601,1e-05,0.920945125317434,0.942975469894871,0.9216876848824537
2.0,5,5,0.17327484176745742,1e-05,0.8941150491332671,0.9204215417807651,0.8634594426280554
